КП,x,y
Старт,0,0
30,-682,-492
31,330,413
32,487,-53
33,876,275
34,2075,710
35,748,-551
36,3660,2431
37,1227,1531
38,1059,-2766
39,-1212,-4967
40,-2125,-5037
41,-535,-4368
42,296,-4942
43,2361,-2196
44,2811,-3510
45,1121,-258
46,1852,96
47,366,782
48,2657,1397
49,2487,2277
50,2011,1681
51,2758,832
52,2554,2
53,821,-1327
54,1869,-716
55,2970,-2899
56,304,-3059
57,-1330,-2034
58,-2782,-3933
59,-2697,-4800
60,-1860,-4434
61,-262,-5657
62,-3594,-3286
63,224,-3700
64,1730,-3610
65,-247,-1434
66,1544,1053
67,1311,480
68,3516,1289
69,3911,1540
70,3826,677
71,2914,2988
72,3536,3490
73,34,-2452
74,1007,-2025
75,3315,-2302
76,3393,-3308
77,-1677,-3829
78,-3882,-4276
79,-2553,-5550
80,-3265,-5216
81,-2142,-3229
82,-477,-3025
83,1136,-4365
84,1877,-2841
85,1119,983
86,3183,1949
